Tarih,Ay,Saat,PTF,SMF,Poz_DF,Neg_DF,KGUP,URETIM,Dengesizlik,GOP_Geliri,Dengesizlik_Tutarı,Net_Gelir,Dengesizlik_Maliyeti,Birim_DM
2024-04-27,4,20:00,2700.0,2700.0,2619.0,2781.0,7.2,7.3,0.09999999999999964,19440.0,261.89999999999907,19701.899999999998,8.100000000002183,1.1095890410961895
2024-04-27,4,21:00,2700.0,2700.0,2619.0,2781.0,7.2,7.4,0.20000000000000018,19440.0,523.8000000000004,19963.8,16.200000000000728,2.1891891891892876
2024-04-27,4,22:00,2600.01,2692.01,2522.0097,2772.7703,7.2,7.4,0.20000000000000018,18720.072000000004,504.4019400000005,19224.473940000003,15.600060000000667,2.108116216216306
2024-04-27,4,23:00,2325.0,2691.05,2255.25,2771.7815,7.2,7.4,0.20000000000000018,16740.0,451.0500000000004,17191.05,13.950000000000728,1.8851351351352335
2024-04-28,4,00:00,2700.0,2700.0,2619.0,2781.0,7.2,7.3,0.09999999999999964,19440.0,261.89999999999907,19701.899999999998,8.100000000002183,1.1095890410961895
2024-04-28,4,01:00,2700.0,2700.0,2619.0,2781.0,7.2,7.4,0.20000000000000018,19440.0,523.8000000000004,19963.8,16.200000000000728,2.1891891891892876
2024-04-28,4,02:00,2407.98,2650.0,2335.7406,2729.5,7.2,7.4,0.20000000000000018,17337.456000000002,467.1481200000004,17804.604120000004,14.447879999996076,1.9524162162156857
2024-04-28,4,03:00,2125.0,700.0,679.0,2188.75,7.2,7.3,0.09999999999999964,15300.0,67.89999999999976,15367.9,144.60000000000036,19.808219178082243
2024-04-28,4,04:00,2278.9,750.0,727.5,2347.2670000000003,7.2,7.2,0.0,16408.08,0.0,16408.08,0.0,0.0
2024-04-28,4,05:00,2136.05,1836.05,1780.9685,2200.1315000000004,7.2,5.2,-2.0,15379.560000000001,-4400.263000000001,10979.297,128.16300000000047,24.646730769230857
2024-04-28,4,06:00,2299.99,700.0,679.0,2368.9896999999996,7.2,7.3,0.09999999999999964,16559.928,67.89999999999976,16627.828,162.09899999999834,22.205342465753198
2024-04-28,4,07:00,750.0,1.19,1.1542999999999999,772.5,7.2,7.3,0.09999999999999964,5400.0,0.11542999999999957,5400.11543,74.88457000000017,10.258160273972626
2024-04-28,4,08:00,410.0,1.18,1.1445999999999998,422.3,7.2,7.29,0.08999999999999986,2952.0,0.10301399999999983,2952.103014,36.79698600000029,5.047597530864237
2024-04-28,4,09:00,132.0,0.49,0.4753,135.96,7.2,7.37,0.16999999999999993,950.4,0.08080099999999997,950.4808009999999,22.359199000000103,3.033812618724573
2024-04-28,4,10:00,111.42,0.49,0.4753,114.7626,7.2,7.38,0.17999999999999972,802.224,0.08555399999999987,802.309554,19.97004599999991,2.7059682926829147
2024-04-28,4,11:00,110.86,0.49,0.4753,114.1858,7.2,7.34,0.13999999999999968,798.192,0.06654199999999985,798.258542,15.453857999999968,2.105430245231603
2024-04-28,4,12:00,115.0,0.49,0.4753,118.45,7.2,7.41,0.20999999999999996,828.0,0.09981299999999999,828.099813,24.050186999999937,3.2456392712550524
2024-04-28,4,13:00,120.01,1.19,1.1542999999999999,123.61030000000001,6.6,7.37,0.7700000000000005,792.066,0.8888110000000005,792.9548110000001,91.51888899999994,12.41775970149253
2024-04-28,4,14:00,131.99,1300.0,128.0303,1339.0,6.6,6.78,0.1800000000000006,871.134,23.045454000000078,894.1794540000001,0.7127460000000383,0.10512477876106759
2024-04-28,4,15:00,111.42,1651.58,108.0774,1701.1274,5.8,6.86,1.0600000000000005,646.236,114.56204400000006,760.798044,3.5431560000000673,0.5164950437317882
2024-04-28,4,16:00,987.0,1887.0,957.39,1943.6100000000001,5.8,6.84,1.04,5724.599999999999,995.6856,6720.285599999999,30.794400000000678,4.502105263157994
2024-04-28,4,17:00,2298.0,2497.83,2229.06,2572.7649,7.2,7.3,0.09999999999999964,16545.600000000002,222.9059999999992,16768.506,6.893999999996595,0.9443835616433692
2024-04-28,4,18:00,2399.98,1757.0,1704.29,2471.9794,7.2,7.29,0.08999999999999986,17279.856,153.38609999999974,17433.2421,62.6121000000021,8.588765432099054
2024-04-28,4,19:00,2700.0,2700.0,2619.0,2781.0,7.2,7.3,0.09999999999999964,19440.0,261.89999999999907,19701.899999999998,8.100000000002183,1.1095890410961895
2024-04-28,4,20:00,2700.0,2700.0,2619.0,2781.0,7.2,7.15,-0.04999999999999982,19440.0,-139.0499999999995,19300.95,4.049999999999272,0.5664335664334647
